iteration,total_ns,layout_ns,raster_ns,backend_ns,probe_ns,convert_ns,upload_ns,commit_ns,upload_bytes
354,5821832,95635,3481261,1833076,5815,782609,628929,411679,38664
355,6012053,87544,4110314,1471307,4111,890056,287146,286734,38664
356,6208668,79158,4061527,1739690,4231,978467,317408,435991,38664
357,6198254,83707,4139450,1619688,5288,893050,340461,376527,38664
358,6400224,119963,4188658,1752332,4737,895373,541082,307564,38664
359,5464326,88969,3732753,1309840,5656,771941,250158,278733,38664
360,5855383,80210,3980176,1451335,5475,930251,218608,293227,38664
361,5839318,88278,3638598,1682659,6218,967862,213429,491528,38664
362,5398075,74731,3443722,1549730,5395,962799,277834,300311,38664
363,5112231,77602,3380781,1259330,5579,770396,198571,281362,38664
364,5200780,80092,3307538,1443851,5460,861615,241677,332113,38664
365,5681085,75317,3831100,1431298,6306,946757,225555,248647,38664
366,5264057,97090,3456104,1329364,6553,849674,205100,263810,38664
367,4998353,73573,3366687,1233174,5023,778243,204748,241809,38664
368,6265159,62477,4139074,1773893,4896,890034,362519,511747,38664
369,5686380,126931,3793501,1279195,5734,787452,206227,276343,38664
370,5079143,70128,3225585,1424480,4410,830665,231856,354633,38664
371,6645485,108857,4233229,1854607,5407,884026,397346,563110,38664
372,6591560,115533,4291891,1706064,28931,1183950,229829,260178,38664
373,4951782,75001,3287985,1269370,7990,775263,257423,226183,38664
374,5200852,62649,3309282,1509855,5023,924286,252590,324831,38664
375,5450240,75305,3547481,1484256,5333,902807,269576,303135,38664
376,5992528,85936,3861268,1694710,6422,930825,382099,364453,38664
377,5514065,74060,3531818,1562010,5344,835387,264244,453314,38664
378,5428351,139915,3403520,1423065,5967,762617,267478,383205,38664
379,4947992,70002,3190823,1370752,4593,814921,219471,328680,38664
380,5735233,87478,3984560,1354326,5350,852115,228870,264505,38664
381,5318899,75729,3342814,1549179,4928,814416,273215,453353,38664
382,4917736,73642,3268648,1262050,4703,762990,312131,179338,38664
383,6064713,72996,3930243,1735899,6588,1052929,423598,248276,38664
384,5634038,100270,3563910,1544311,6218,826426,302150,405408,38664
385,5178357,75257,3408236,1369401,5715,777342,262771,320195,38664
386,5440449,69787,3722788,1335814,5348,822615,224588,279193,38664
387,5763118,106942,3852345,1347590,5705,774528,247619,315873,38664
388,5130394,75389,3352715,1374576,5581,735356,232853,397279,38664
389,6476343,89713,4336537,1684640,5643,903556,349670,421178,38664
390,5276534,83667,3576134,1277006,5543,769368,228170,270644,38664
391,6173467,66124,3957584,1847002,5327,895773,322238,619365,38664
392,5578412,81341,3415234,1450003,5765,719438,339128,380862,38664
393,5206520,78222,3252809,1542667,5173,784157,350054,399901,38664
394,6229490,110858,4241800,1481015,5555,765126,270170,436236,38664
395,6592032,76301,4685296,1454594,5720,896788,273640,273982,38664
396,5120507,78071,3477177,1227751,5075,761243,217198,240645,38664
397,5445278,107866,3325807,1699183,5020,820148,433246,437551,38664
398,5428977,111738,3657402,1207192,6176,767904,216931,212670,38664
399,4762588,70247,3133766,1244650,3796,764042,251817,222610,38664
400,6401811,159716,4221469,1593777,5543,896340,356355,331135,38664
401,5257803,101775,3402420,1329882,6460,816487,235756,267550,38664
402,5240451,75579,3396733,1391545,4470,837291,245425,301344,38664
403,5375657,76986,3310507,1660328,4716,1114991,248516,289044,38664
404,6235925,97105,4244522,1455615,7066,800755,266374,377447,38664
405,5081512,78126,3235179,1366785,6099,810608,256157,289789,38664
406,4983104,74582,3324298,1257282,4968,764851,193075,291180,38664
407,6248354,73534,4170141,1669138,6019,983441,466950,208482,38664
408,4926139,77549,3282207,1246009,4997,767452,239692,230971,38664
409,4933232,65324,3384238,1187479,4901,779145,184345,216199,38664
410,6113091,69091,4080978,1645935,5854,1010389,324964,301195,38664
411,4950843,76512,3253321,1300917,4527,751535,233968,308576,38664
412,4761627,61382,3196678,1212560,6065,769449,204105,230187,38664
413,6244179,66515,3972976,1899783,5804,1161057,338655,390612,38664
414,5014224,75138,3322224,1291774,4408,762044,254688,267874,38664
415,5118114,69713,3240273,1500307,4313,1034150,262073,197256,38664
416,5849477,73566,3745409,1677851,5854,1211352,229124,227561,38664
417,6332912,110047,4373721,1397602,8126,878316,231803,275929,38664
418,5040772,100085,3349802,1191694,23666,761855,166936,235376,38664
419,5263469,66708,3509892,1358320,24273,751543,274172,304339,38664
420,6815026,103777,4337575,1938236,6138,1372248,267960,287947,38664
421,6718704,113561,4385244,1758709,6242,995387,283832,468171,38664
422,7244156,114251,4605911,2034272,5499,1267795,362074,394056,38664
423,6314588,84141,4452211,1428670,5634,923682,250603,244753,38664
424,5774160,95040,3722592,1614125,5592,1042737,277735,283612,38664
